Serial,RAhour,RAminutes,RAseconds,RA,DECsign,DECdegrees,DECminutes,DECseconds,DEC,Vmag,PropermotionRA,PropermotionDEC
  62,00,17,09.1,0.2858611111111111,+,47,56,51,47.9475, 5.89,+0.008, 0.000
  63,00,17,05.5,0.2848611111111111,+,38,40,54,38.681666666666665, 4.61,-0.050,-0.019
  64,00,16,49.0,0.2802777777777778,-,78,46,50,-78.78055555555555, 6.77,+0.077,-0.043
  65,00,17,43.0,0.29527777777777775,+,51,25,59,51.433055555555555, 6.14,-0.005,-0.004
  66,00,17,32.6,0.29238888888888886,-,19,03,04,-19.051111111111112, 6.45,+0.015,+0.003
  67,00,17,47.7,0.2965833333333333,+,01,41,20,1.6888888888888889, 6.17,+0.095,+0.012
  68,00,18,19.7,0.3054722222222222,+,36,47,07,36.78527777777778, 4.52,-0.063,-0.041
  69,00,18,17.2,0.30477777777777776,+,11,12,21,11.205833333333333, 6.05,-0.036,-0.038
  70,00,18,42.1,0.31169444444444444,+,43,47,28,43.791111111111114, 6.11,+0.020,-0.003
  71,00,18,38.3,0.31063888888888885,+,31,31,02,31.517222222222223, 5.87,+0.058,-0.006
  72,00,18,41.8,0.3116111111111111,-,08,03,10,-8.052777777777777, 6.46,+0.413,-0.139
  73,00,18,42.6,0.3118333333333333,-,43,14,07,-43.235277777777775, 6.33,+0.056,+0.012
  74,00,19,25.7,0.32380555555555557,-,08,49,26,-8.823888888888888, 3.56,-0.014,-0.036
  75,00,19,41.6,0.3282222222222222,+,40,43,47,40.72972222222222, 6.33,-0.026,-0.010
  76,00,20,05.2,0.3347777777777778,+,48,51,55,48.86527777777778, 6.52,+0.005,-0.017
  77,00,20,04.3,0.33452777777777776,-,64,52,29,-64.87472222222222, 4.23,+1.705,+1.164
  78,00,20,24.4,0.3401111111111111,+,30,56,09,30.935833333333335, 5.90,+0.021,+0.004
  79,00,20,45.5,0.3459722222222222,+,32,54,41,32.91138888888889, 5.79,-0.026,-0.014
  80,00,20,35.9,0.34330555555555553,+,08,11,25,8.190277777777778, 5.37,-0.002,+0.008
  81,00,20,54.5,0.3484722222222222,+,10,58,37,10.976944444444445, 6.56,-0.046,-0.028
  82,00,21,07.3,0.3520277777777778,+,37,58,07,37.96861111111111, 5.18,+0.060,-0.040
  83,00,20,39.0,0.3441666666666666,-,69,37,30,-69.625, 5.51,-0.007, 0.000
  84,00,21,31.2,0.35866666666666663,-,28,58,54,-28.981666666666666, 5.18,+0.040,-0.074
  85,00,21,46.3,0.3628611111111111,-,20,03,28,-20.057777777777776, 5.12,+0.071,-0.005
  86,00,22,25.5,0.37374999999999997,+,13,28,57,13.4825, 6.23,+0.062,+0.021
  87,00,21,28.6,0.3579444444444444,-,77,25,37,-77.42694444444444, 5.97,+0.002,-0.010
  88,00,22,51.8,0.38105555555555554,-,12,12,34,-12.209444444444445, 6.39,+0.394,+0.061
  89,00,23,12.6,0.38683333333333336,-,31,02,10,-31.03611111111111, 6.55,+0.029,-0.003
  90,00,24,02.0,0.40055555555555555,+,38,34,38,38.577222222222225, 7.39,-0.007,-0.023
  91,00,24,15.6,0.4043333333333334,+,52,01,12,52.02, 5.57,+0.013,-0.004
  92,  ,  ,    ,0.0, ,  ,  ,  ,-0.0,0      ,      
  93,00,24,47.5,0.4131944444444445,+,61,49,52,61.83111111111111, 5.40,+0.012,-0.001
  94,00,24,29.7,0.40825,-,02,13,09,-2.2191666666666667, 6.07,-0.033,-0.044
  95,  ,  ,    ,0.0, ,  ,  ,  ,-0.0,0      ,      
  96,00,25,06.4,0.41844444444444445,+,53,02,49,53.04694444444444, 5.74,+0.023,-0.002
  97,00,25,24.2,0.4233888888888889,+,01,56,23,1.9397222222222221, 5.77,-0.013,-0.015
  98,00,25,45.1,0.4291944444444445,-,77,15,15,-77.25416666666666, 2.80,+2.215,+0.324
  99,00,26,17.0,0.4380555555555556,-,42,18,22,-42.306111111111115, 2.39,+0.203,-0.396
 100,00,26,12.2,0.43672222222222223,-,43,40,48,-43.68, 3.94,+0.109,+0.029
 101,00,26,37.4,0.44372222222222224,-,00,02,59,-0.04972222222222222, 6.19,+0.073,-0.001
 102,00,27,14.7,0.45408333333333334,-,25,32,50,-25.54722222222222, 5.98,+0.036,-0.019
 103,00,28,02.9,0.46747222222222223,+,17,53,35,17.893055555555556, 5.06,+0.117,+0.021
 104,00,28,13.7,0.47047222222222224,+,44,23,40,44.394444444444446, 5.17,+0.089,-0.016
 105,00,27,55.7,0.46547222222222223,-,33,00,26,-33.007222222222225, 4.81,-0.019,-0.052
 106,00,28,12.7,0.47019444444444447,+,16,26,42,16.445, 6.06,+0.019,-0.015
 107,00,28,20.1,0.47225,+,10,11,23,10.189722222222223, 6.04,+0.046,-0.207
 108,00,28,21.1,0.47252777777777777,-,20,20,06,-20.335, 6.43,-0.116,-0.114
 109,00,28,26.4,0.47400000000000003,-,39,54,54,-39.915, 5.43,+0.130,-0.036
 110,00,28,56.6,0.4823888888888889,+,36,54,00,36.9, 6.26,-0.011,+0.003
 111,00,28,43.1,0.4786388888888889,-,50,31,58,-50.53277777777778, 6.26,+0.150,-0.002
 112,00,30,55.0,0.5152777777777777,+,77,01,10,77.01944444444445, 6.21,+0.337,-0.038
 113,00,30,19.9,0.5055277777777778,+,59,58,38,59.977222222222224, 5.94,+0.017,-0.012
 114,00,30,07.3,0.5020277777777777,+,29,45,06,29.751666666666665, 5.23,+0.041,-0.054
 115,00,29,51.9,0.49775,-,14,51,51,-14.864166666666666, 6.14,+0.144,-0.032
 116,00,29,48.9,0.4969166666666667,-,32,07,00,-32.11666666666667, 6.57,-0.004,-0.054
 117,00,30,02.4,0.5006666666666667,-,03,57,26,-3.957222222222222, 5.72,+0.011,-0.012
 118,00,30,22.7,0.5063055555555556,-,23,47,16,-23.787777777777777, 5.19,-0.024,+0.013
 119,00,30,27.8,0.5077222222222222,-,40,56,22,-40.93944444444445, 6.19,-0.001,+0.021
 120,00,30,26.1,0.50725,-,48,12,54,-48.215, 5.69,+0.129,-0.088
 121,00,31,25.3,0.5236944444444445,+,66,31,10,66.51944444444445, 6.18,+0.023,-0.006
 122,00,31,25.6,0.5237777777777778,+,33,34,54,33.58166666666666, 5.87,+0.047,-0.019
 123,00,31,46.4,0.5295555555555556,+,54,31,20,54.522222222222226, 4.73,+0.045,-0.010
 124,00,31,41.2,0.5281111111111112,+,52,50,22,52.839444444444446, 5.60,-0.053,-0.019
 125,00,31,25.0,0.5236111111111111,-,48,48,13,-48.80361111111111, 4.77,+0.143,+0.017
 126,00,31,32.7,0.52575,-,62,57,29,-62.95805555555555, 4.37,+0.090,-0.054
