028.87,+30.00,13.6882,38.6861
028.87,-30.00,37.5258,-17.0034
028.98,+75.00,310.0684,69.4061
028.98,-75.00,65.6057,-56.7559
029.24,+70.00,323.5399,68.2180
029.24,-70.00,60.4794,-52.7214
029.58,+65.00,335.2916,66.1347
029.58,-65.00,56.3377,-48.4643
030.00,+00.00,27.9105,11.4720
030.00,+60.00,345.1125,63.3812
030.00,-60.00,52.9630,-44.0367
030.34,+25.00,17.8552,34.7408
030.34,-25.00,36.9425,-11.8661
030.46,+10.00,24.6203,20.9725
030.46,-10.00,31.8406,2.2513
030.51,+55.00,353.2293,60.1568
030.51,-55.00,50.1955,-39.4737
031.11,+50.00,0.0038,56.6114
031.11,-50.00,47.9197,-34.7995
031.82,+45.00,5.7769,52.8500
031.82,-45.00,46.0526,-30.0303
031.93,+20.00,21.8539,30.7612
031.93,-20.00,36.5838,-6.6690
032.62,+05.00,28.6336,17.0736
032.62,-05.00,32.1543,7.6818
032.64,+40.00,10.8242,48.9446
032.64,-40.00,44.5350,-25.1771
033.57,+35.00,15.3563,44.9450
033.57,-35.00,43.3256,-20.2468
033.65,+15.00,25.7626,26.7660
033.65,-15.00,36.4525,-1.4083
034.64,+30.00,19.5326,40.8861
034.64,-30.00,42.3973,-15.2437
035.00,+00.00,32.7178,13.1885
035.54,+10.00,29.6486,22.7694
035.54,-10.00,36.5605,3.9212
035.86,+25.00,23.4752,36.7934
035.86,-25.00,41.7340,-10.1693
036.00,+85.00,281.4137,69.1263
036.00,-85.00,80.9616,-63.3308
037.25,+20.00,27.2802,32.6856
037.25,-20.00,41.3299,-5.0235
037.64,+05.00,33.5726,18.7826
037.64,-05.00,36.9289,9.3260
038.82,+15.00,31.0257,28.5768
038.82,-15.00,41.1886,0.1956
038.89,+45.00,12.8993,55.6241
038.89,+50.00,7.4666,59.6970
038.89,-45.00,51.3654,-28.1749
038.89,-50.00,53.4550,-32.8400
039.16,+40.00,17.5780,51.4605
039.16,-40.00,49.6662,-23.4103
039.23,+55.00,0.8973,63.6170
039.23,-55.00,55.9965,-37.3925
039.68,+35.00,21.7600,47.2459
039.68,-35.00,48.3136,-18.5552
040.00,+00.00,37.5912,14.8143
040.00,+60.00,352.6197,67.2804
040.00,-60.00,59.0753,-41.8144
040.41,+30.00,25.6226,43.0060
040.41,-30.00,47.2785,-13.6156
040.62,+10.00,34.7781,24.4776
040.62,-10.00,41.3236,5.4916
041.38,+25.00,29.2931,38.7588
041.38,-25.00,46.5438,-8.5948
041.41,+65.00,341.8276,70.5120
041.41,-65.00,62.8082,-46.0818
042.57,+20.00,32.8671,34.5168
042.57,-20.00,46.1034,-3.4942
042.66,+05.00,38.5964,20.3957
042.66,-05.00,41.7597,10.8696
043.86,+70.00,327.6232,73.0213
043.86,-70.00,67.3566,-50.1647
044.00,+15.00,36.4203,30.2890
044.00,-15.00,45.9617,1.6869
045.00,+00.00,42.5358,16.3361
045.69,+10.00,40.0159,26.0817
045.69,+40.00,24.7976,53.8804
045.69,-10.00,46.1344,6.9507
045.69,-40.00,54.8009,-21.8207
045.78,+35.00,28.5203,49.4431
045.78,-35.00,53.3110,-17.0215
045.96,+45.00,20.6358,58.3159
045.96,-45.00,56.6774,-26.5231
046.19,+30.00,31.9892,45.0178
046.19,-30.00,52.1759,-12.1314
046.67,+50.00,15.7371,62.7262
046.67,-50.00,58.9882,-31.1203
046.89,+25.00,35.3285,40.6130
046.89,-25.00,51.3772,-7.1543
047.68,+05.00,43.7099,21.8987
047.68,-05.00,46.6504,12.3005
047.89,+20.00,38.6273,36.2342
047.89,-20.00,50.9085,-2.0922
047.94,+55.00,9.5875,67.0672
047.94,-55.00,61.8011,-35.6020
048.30,+75.00,309.7632,74.3831
048.30,-75.00,72.9519,-54.0331
049.18,+15.00,41.9544,31.8846
049.18,-15.00,50.7751,3.0545
050.00,+00.00,47.5550,17.7410
050.00,+60.00,1.2354,71.2482
050.00,-60.00,65.2107,-39.9565
050.77,+10.00,45.3669,27.5658
050.77,-10.00,50.9956,8.2869
051.88,+35.00,35.6847,51.4993
051.88,-35.00,58.3233,-15.6578
051.96,+30.00,38.6596,46.8911
051.96,-30.00,57.0939,-10.8026
052.22,+40.00,32.5676,56.1575
052.22,-40.00,59.9459,-20.4213
052.41,+25.00,41.5970,42.3310
052.41,-25.00,56.2375,-5.8588
052.70,+05.00,48.9158,23.2774
052.70,-05.00,51.6030,13.6067
053.03,+45.00,29.1411,60.8666
053.03,-45.00,61.9967,-25.0891
053.21,+20.00,44.5693,37.8166
053.21,-20.00,55.7476,-0.8284
